year,originregion,destinationregion,fe_YearCategorical
2000.0,ANZ,MAF,-32.09490778848198
2000.0,EEU,MAF,-32.09490778848198
2000.0,CAN,MAF,-32.09490778848198
2000.0,USA,MAF,-32.09490778848198
2000.0,SSA,FSU,-32.09490778848198
2000.0,MAF,FSU,-32.09490778848198
2000.0,WEU,FSU,-32.09490778848198
2000.0,MDE,FSU,-32.09490778848198
2000.0,SEA,FSU,-32.09490778848198
2000.0,CAM,FSU,-32.09490778848198
2000.0,LAM,FSU,-32.09490778848198
2000.0,ANZ,FSU,-32.09490778848198
2000.0,EEU,FSU,-32.09490778848198
2000.0,CAN,FSU,-32.09490778848198
2000.0,USA,FSU,-32.09490778848198
2000.0,SAS,FSU,-32.09490778848198
2000.0,JPK,FSU,-32.09490778848198
2000.0,SIS,FSU,-32.09490778848198
2000.0,SSA,MDE,-32.09490778848198
2000.0,MAF,MDE,-32.09490778848198
2000.0,WEU,MDE,-32.09490778848198
2000.0,SAS,MDE,-32.09490778848198
2000.0,SIS,MDE,-32.09490778848198
2000.0,CHI,MDE,-32.09490778848198
2000.0,JPK,MDE,-32.09490778848198
2000.0,SEA,MDE,-32.09490778848198
2000.0,CAM,MDE,-32.09490778848198
2000.0,LAM,MDE,-32.09490778848198
2000.0,ANZ,MDE,-32.09490778848198
2000.0,EEU,MDE,-32.09490778848198
2000.0,FSU,MDE,-32.09490778848198
2000.0,CAN,MDE,-32.09490778848198
2000.0,USA,MDE,-32.09490778848198
2000.0,SSA,WEU,-32.09490778848198
2000.0,SIS,WEU,-32.09490778848198
2000.0,MAF,WEU,-32.09490778848198
2000.0,FSU,WEU,-32.09490778848198
2000.0,MDE,WEU,-32.09490778848198
2000.0,SAS,WEU,-32.09490778848198
2000.0,CHI,WEU,-32.09490778848198
2000.0,JPK,WEU,-32.09490778848198
2000.0,SEA,WEU,-32.09490778848198
2000.0,CAM,WEU,-32.09490778848198
2000.0,LAM,WEU,-32.09490778848198
2000.0,ANZ,WEU,-32.09490778848198
2000.0,EEU,WEU,-32.09490778848198
2000.0,CAN,WEU,-32.09490778848198
2000.0,USA,WEU,-32.09490778848198
2000.0,CHI,FSU,-32.09490778848198
2000.0,SIS,SAS,-32.09490778848198
2000.0,SSA,SAS,-32.09490778848198
2000.0,MAF,SAS,-32.09490778848198
2000.0,MDE,SAS,-32.09490778848198
2000.0,WEU,SAS,-32.09490778848198
2000.0,CHI,SAS,-32.09490778848198
2000.0,JPK,SAS,-32.09490778848198
2000.0,SEA,SAS,-32.09490778848198
2000.0,CAM,SAS,-32.09490778848198
2000.0,LAM,SAS,-32.09490778848198
2000.0,ANZ,SAS,-32.09490778848198
2000.0,EEU,SAS,-32.09490778848198
2000.0,FSU,SAS,-32.09490778848198
2000.0,CAN,SAS,-32.09490778848198
2000.0,USA,SAS,-32.09490778848198
2000.0,SSA,CHI,-32.09490778848198
2000.0,SIS,CHI,-32.09490778848198
2000.0,MAF,CHI,-32.09490778848198
2000.0,MDE,CHI,-32.09490778848198
2000.0,WEU,CHI,-32.09490778848198
2000.0,FSU,CHI,-32.09490778848198
2000.0,SAS,CHI,-32.09490778848198
2000.0,JPK,CHI,-32.09490778848198
2000.0,SEA,CHI,-32.09490778848198
2000.0,CAM,CHI,-32.09490778848198
2000.0,LAM,CHI,-32.09490778848198
2000.0,ANZ,CHI,-32.09490778848198
2000.0,EEU,CHI,-32.09490778848198
2000.0,CAN,CHI,-32.09490778848198
2000.0,USA,CHI,-32.09490778848198
2000.0,SSA,JPK,-32.09490778848198
2000.0,SIS,JPK,-32.09490778848198
2000.0,MAF,JPK,-32.09490778848198
2000.0,MDE,JPK,-32.09490778848198
2000.0,WEU,JPK,-32.09490778848198
2000.0,FSU,JPK,-32.09490778848198
2000.0,SAS,JPK,-32.09490778848198
2000.0,CHI,JPK,-32.09490778848198
2000.0,SEA,JPK,-32.09490778848198
2000.0,CAM,JPK,-32.09490778848198
2000.0,LAM,JPK,-32.09490778848198
2000.0,ANZ,JPK,-32.09490778848198
2000.0,EEU,JPK,-32.09490778848198
2000.0,CAN,JPK,-32.09490778848198
2000.0,USA,JPK,-32.09490778848198
2000.0,SSA,SEA,-32.09490778848198
2000.0,MAF,SEA,-32.09490778848198
2000.0,MDE,SEA,-32.09490778848198
2000.0,FSU,SEA,-32.09490778848198
2000.0,SAS,SEA,-32.09490778848198
2000.0,CHI,SEA,-32.09490778848198
2000.0,JPK,SEA,-32.09490778848198
2000.0,ANZ,SEA,-32.09490778848198
2000.0,WEU,SEA,-32.09490778848198
2000.0,CAN,SEA,-32.09490778848198
2000.0,USA,SEA,-32.09490778848198
2000.0,SIS,SEA,-32.09490778848198
2000.0,LAM,SEA,-32.09490778848198
2000.0,EEU,SEA,-32.09490778848198
2000.0,CAM,SEA,-32.09490778848198
